action, elapsed_ms           , pos_0, pos_1, pos_2, pos_3, pos_4, pos_5, pos_6, pos_7, pos_8, pos_9
reply ,   37.15766900131712  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   38.5774090027553   ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   40.833912000380224 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   41.94641800131649  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   42.575145002047066 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   43.78323399942019  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   46.40752900013467  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   47.02787800124497  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   47.81184999956167  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   49.580991002585506 ,  4087,   245,  3960,  1917,  4094,  4088,  2035,  4090,   111,  4087
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   50.09843500010902  ,  4087,   245,  3960,  1917,  4094,  4088,  2035,  4090,   111,  4087
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   50.97153600218007  ,  4087,   245,  3960,  1917,  4094,  4088,  2035,  4090,   111,  4087
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   51.5200680019916   ,  4087,   245,  3960,  1917,  4094,  4088,  2035,  4090,   111,  4087
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   52.305395001894794 ,  4087,   245,  3960,  1917,  4094,  4088,  2035,  4090,   111,  4087
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   53.12332700123079  ,  4087,   245,  3960,  1917,  4094,  4088,  2035,  4090,   111,  4087
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   54.33446100141737  ,  4087,   245,  3960,  1917,  4094,  4088,  2035,  4090,   111,  4087
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   55.137307001132285 ,  4087,   245,  3960,  1917,  4094,  4088,  2035,  4090,   111,  4087
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   56.30947300232947  ,  4087,   245,  3960,  1917,  4094,  4088,  2035,  4090,   111,  4087
